"Every Tuesday, indulge in our truffle-infused dishes at a special price.",Promotion,"Truffle, restaurant",Positive
"Get a free espresso shot with any dessert, available every Monday.",Promotion,"Espresso, dessert",Positive
Celebrate our Risotto Week with a new flavor introduced daily.,Promote,"Risotto, week",Positive
Discover a different antipasti every week with our Chef's Selection.,Exploration,"Chef, antipasti, selection",Positive
End your week sweetly with a buy-one-get-one offer on all desserts.,Promotion,"Desserts, buy-one-get-one",Positive
Book a romantic dinner for two and enjoy a complimentary bottle of Prosecco.,Romance,"Dinner, Prosecco",Positive
Experience our Cheese Lovers' menu with a variety of Italian cheeses.,Promotion,"Italian cheeses, menu",Positive
Weekday happy hour with half-price appetizers and drink specials from 3-5 PM.,Promotion,"Bar, Appetizers, Drinks",Positive
Celebrate with us and the birthday guest eats for free! (ID required),Promotion,"Celebrate, birthday, guest",Positive
Dine with the sounds of live opera on the last Saturday of each month.,Enjoyment,"Opera, Live",Positive
Weekly specials featuring ingredients from the local farmer's market.,Promotion,"Local farmer's market, weekly specials",Positive
Dive into our seafood Saturdays with a curated selection of seafood dishes.,Promote,"Seafood, Saturday",Positive
Join our interactive pizza-making class â€“ perfect for groups and families.,Learning,"Group, Family",Positive
Introducing a new dessert each month inspired by Italian cinema.,Innovation,"Italian cinema, desserts",Positive
Solo diners get a complimentary glass of wine with their meal on Wednesdays.,Promotion,"Solo diners, wednesday",Positive
"Unwind with our aperitivo selections from 4 PM onwards, every Thursday.",Relaxation,"Aperitivo, Thursday",Positive
Gluten-free pasta and pizza now available every day.,Availability,"Pasta, pizza",Positive
Seniors enjoy a 20% discount every Wednesday.,Discount,"Seniors, Wednesday",Positive
"Build your own lasagna with various ingredients, available on Mondays.",Cooking,"Lasagna, ingredients, Mondays",Positive
Start the week with our fresh mozzarella dishes at a discount.,Discount,"Mozzarella, Week",Positive
